code,color,descript,stdcost,price,division,category,season,user4,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,size1,size2,size3,size4,size5,size6,size7,size8,size9,size10,size11,size12,sku,cost,grp,warehouse,memo,qty1,qty2,qty3,qty4,qty5,qty6,qty7,qty8,qty9,qty10,qty11,qty12,onhand,onorder,wip,pick,alloc,available,is_actual,active,ats1,ats2,ats3,ats4,ats5,ats6,ats7,ats8,ats9,ats10,ats11,ats12,nowip_ats1,nowip_ats2,nowip_ats3,nowip_ats4,nowip_ats5,nowip_ats6,nowip_ats7,nowip_ats8,nowip_ats9,nowip_ats10,nowip_ats11,nowip_ats12,nowip_total,descript
0586W,NAVY,2 PC SET,,39.0000,W2,SUIT,CO,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,,,,,,0,GIO,00,,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2.0000,,1,0,0,2.0000,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,NAVY
0650,BLK,3 PC SET Washable,,42.0000,M7,SUIT,ALL,N,,,,,,,,,,,,,6,8,10,12,14,16,18,,,,,,,0,GIO,00,,0,12,12,15,0,0,2,0,0,0,0,0,41,0,0,0,0,41.0000,,1,0,12.0000,12.0000,15.0000,0,0,2.0000,0,0,0,0,0,0,12,12,15,0,0,2,0,0,0,0,0,41,BLACK
0650,CHOCO,3 PC SET Washable,,42.0000,M7,SUIT,ALL,N,,,,,,,,,,,,,6,8,10,12,14,16,18,,,,,,,0,GIO,00,,0,7,9,23,25,26,28,0,0,0,0,0,118,0,0,0,0,118.0000,,1,0,7.0000,9.0000,23.0000,25.0000,26.0000,28.0000,0,0,0,0,0,0,7,9,23,25,26,28,0,0,0,0,0,118,CHOCOLATE
0650,RYL,3 PC SET Washable,,42.0000,M7,SUIT,ALL,N,,,,,,,,,,,,,6,8,10,12,14,16,18,,,,,,,0,GIO,00,,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3.0000,,1,3.0000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,ROYAL
0650,SIL,3 PC SET Washable,,42.0000,M7,SUIT,ALL,N,,,,,,,,,,,,,6,8,10,12,14,16,18,,,,,,,0,GIO,00,,0,5,8,10,8,15,19,0,0,0,0,0,65,0,0,0,0,65.0000,,1,0,5.0000,8.0000,10.0000,8.0000,15.0000,19.0000,0,0,0,0,0,0,5,8,10,8,15,19,0,0,0,0,0,65,SILVER
0650,WHT,3 PC SET Washable,,42.0000,M7,SUIT,ALL,N,,,,,,,,,,,,,6,8,10,12,14,16,18,,,,,,,0,GIO,00,,0,0,0,1,5,3,14,0,0,0,0,0,23,0,0,0,0,23.0000,,1,0,0,0,1.0000,5.0000,3.0000,14.0000,0,0,0,0,0,0,0,0,1,5,3,14,0,0,0,0,0,23,WHITE
0650W,BLK,3 PC SET,,42.0000,W12,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,28W,30W,,,0,GIO,00,,0,0,4,2,4,0,0,13,15,5,10,0,53,0,0,0,0,53.0000,,1,0,0,4.0000,2.0000,4.0000,0,0,13.0000,15.0000,5.0000,10.0000,0,0,0,4,2,4,0,0,13,15,5,10,0,53,BLACK
0650W,CHOCO,3 PC SET,,42.0000,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,14,19,22,18,21,18,14,0,0,0,126,0,0,0,0,126.0000,,1,0,0,14.0000,19.0000,22.0000,18.0000,21.0000,18.0000,14.0000,0,0,0,0,0,14,19,22,18,21,18,14,0,0,0,126,CHOCOLATE
0650W,RYL,3 PC SET,,42.0000,W12,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,28W,30W,,,0,GIO,00,,0,0,0,1,0,0,12,24,25,5,4,0,71,0,0,0,0,71.0000,,1,0,0,0,1.0000,0,0,12.0000,24.0000,25.0000,5.0000,4.0000,0,0,0,0,1,0,0,12,24,25,5,4,0,71,ROYAL
0650W,SIL,3 PC SET,,42.0000,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,5,15,7,9,8,18,12,0,0,0,74,0,0,0,0,74.0000,,1,0,0,5.0000,15.0000,7.0000,9.0000,8.0000,18.0000,12.0000,0,0,0,0,0,5,15,7,9,8,18,12,0,0,0,74,SILVER
0650W,WHT,3 PC SET,,42.0000,W12,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,28W,30W,,,0,GIO,00,,0,0,1,3,0,0,13,22,14,4,5,0,62,0,0,0,0,62.0000,,1,0,0,1.0000,3.0000,0,0,13.0000,22.0000,14.0000,4.0000,5.0000,0,0,0,1,3,0,0,13,22,14,4,5,0,62,WHITE
0654,BLK,2 PC SET Washable,,39.0000,M5,SUIT,ALL,N,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,5,1,9,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15.0000,,1,5.0000,1.0000,9.0000,0,0,0,0,0,0,0,0,0,5,1,9,0,0,0,0,0,0,0,0,0,15,BLACK
0654,PURPLE,2 PC SET Washable,,39.0000,M5,SUIT,ALL,N,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,0,3,2,1,0,5,0,0,0,0,0,0,11,0,0,0,0,11.0000,,1,0,3.0000,2.0000,1.0000,0,5.0000,0,0,0,0,0,0,0,3,2,1,0,5,0,0,0,0,0,0,11,PURPLE
0654,RED,2 PC SET Washable,,39.0000,M5,SUIT,ALL,N,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,0,11,0,0,3,11,0,0,0,0,0,0,25,0,0,0,0,25.0000,,1,0,11.0000,0,0,3.0000,11.0000,0,0,0,0,0,0,0,11,0,0,3,11,0,0,0,0,0,0,25,RED
0654,RYL,2 PC SET Washable,,39.0000,M5,SUIT,ALL,N,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,5,9,7,2,6,8,0,0,0,0,0,0,37,0,0,0,0,37.0000,,1,5.0000,9.0000,7.0000,2.0000,6.0000,8.0000,0,0,0,0,0,0,5,9,7,2,6,8,0,0,0,0,0,0,37,ROYAL
0654W,BLK,2 PC SET,,39.0000,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,0,0,0,0,1,10,4,0,0,0,15,0,0,0,0,15.0000,,1,0,0,0,0,0,0,1.0000,10.0000,4.0000,0,0,0,0,0,0,0,0,0,1,10,4,0,0,0,15,BLACK
0654W,PURPLE,2 PC SET,,39.0000,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,4,8,6,7,12,18,10,0,0,0,65,0,0,0,0,65.0000,,1,0,0,4.0000,8.0000,6.0000,7.0000,12.0000,18.0000,10.0000,0,0,0,0,0,4,8,6,7,12,18,10,0,0,0,65,PURPLE
0654W,RED,2 PC SET,,39.0000,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,0,0,2,8,15,8,9,0,0,0,42,0,0,0,0,42.0000,,1,0,0,0,0,2.0000,8.0000,15.0000,8.0000,9.0000,0,0,0,0,0,0,0,2,8,15,8,9,0,0,0,42,RED
0654W,RYL,2 PC SET,,39.0000,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,4,10,9,11,15,10,9,0,0,0,68,0,0,0,0,68.0000,,1,0,0,4.0000,10.0000,9.0000,11.0000,15.0000,10.0000,9.0000,0,0,0,0,0,4,10,9,11,15,10,9,0,0,0,68,ROYAL
0654W,WHT,2 PC SET,,39.0000,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,0,0,-1,0,2,0,4,0,0,0,5,0,0,0,0,5.0000,,1,0,0,0,0,-1.0000,0,2.0000,0,4.0000,0,0,0,0,0,0,0,-1,0,2,0,4,0,0,0,5,WHITE
0655,BLK,2 PC WASHABLE,,39.0000,M5,SUIT,ALL,N,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,5,13,0,0,0,8,0,0,0,0,0,0,26,0,0,0,0,26.0000,,1,5.0000,13.0000,0,0,0,8.0000,0,0,0,0,0,0,5,13,0,0,0,8,0,0,0,0,0,0,26,BLACK
0655,NAVY #1833,2 PC WASHABLE,,39.0000,M5,SUIT,ALL,N,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,4,15,17,23,23,22,0,0,0,0,0,0,104,0,0,0,0,104.0000,,1,4.0000,15.0000,17.0000,23.0000,23.0000,22.0000,0,0,0,0,0,0,4,15,17,23,23,22,0,0,0,0,0,0,104,NAVY
0655,RYL #1833,2 PC WASHABLE,,39.0000,M5,SUIT,ALL,N,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,5,14,19,29,27,24,0,0,0,0,0,0,118,0,0,0,0,118.0000,,1,5.0000,14.0000,19.0000,29.0000,27.0000,24.0000,0,0,0,0,0,0,5,14,19,29,27,24,0,0,0,0,0,0,118,ROYAL
0655W,BLK,2 PC WASHABLE,,39.0000,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,0,5,0,3,11,17,15,0,0,0,51,0,0,0,0,51.0000,,1,0,0,0,5.0000,0,3.0000,11.0000,17.0000,15.0000,0,0,0,0,0,0,5,0,3,11,17,15,0,0,0,51,BLACK
0655W,NAVY #1833,2 PC WASHABLE,,39.0000,W13,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,28W,,,,0,GIO,00,,0,0,18,26,26,23,24,24,14,9,0,0,164,0,0,0,0,164.0000,,1,0,0,18.0000,26.0000,26.0000,23.0000,24.0000,24.0000,14.0000,9.0000,0,0,0,0,18,26,26,23,24,24,14,9,0,0,164,NAVY
0655W,RYL #1833,2 PC WASHABLE,,39.0000,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,20,30,29,25,25,20,15,0,0,0,164,0,0,0,0,164.0000,,1,0,0,20.0000,30.0000,29.0000,25.0000,25.0000,20.0000,15.0000,0,0,0,0,0,20,30,29,25,25,20,15,0,0,0,164,ROYAL
0655W,WHT,2 PC WASHABLE,,39.0000,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,0,12,7,0,19,19,18,0,0,0,75,0,0,0,0,75.0000,,1,0,0,0,12.0000,7.0000,0,19.0000,19.0000,18.0000,0,0,0,0,0,0,12,7,0,19,19,18,0,0,0,75,WHITE
0708,BLK,3 PC WASHABLE SUIT 0301,,45.0000,M5,SUIT,ALL,N,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,6,12,23,23,20,23,0,0,0,0,0,0,107,0,0,0,0,107.0000,,1,6.0000,12.0000,23.0000,23.0000,20.0000,23.0000,0,0,0,0,0,0,6,12,23,23,20,23,0,0,0,0,0,0,107,BLACK
0708,NAVY,3 PC WASHABLE SUIT 0301,,45.0000,M5,SUIT,ALL,N,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,2,2,3,0,0,2,0,0,0,0,0,0,9,0,0,0,0,9.0000,,1,2.0000,2.0000,3.0000,0,0,2.0000,0,0,0,0,0,0,2,2,3,0,0,2,0,0,0,0,0,0,9,NAVY
0708W,BLK,3 PC WASHABLE SUIT 0301,,45.0000,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,10,20,20,20,15,15,10,0,0,0,110,0,0,0,0,110.0000,,1,0,0,10.0000,20.0000,20.0000,20.0000,15.0000,15.0000,10.0000,0,0,0,0,0,10,20,20,20,15,15,10,0,0,0,110,BLACK
0708W,NAVY,3 PC WASHABLE SUIT 0301,,45.0000,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,0,0,4,1,0,2,1,0,0,0,8,0,0,0,0,8.0000,,1,0,0,0,0,4.0000,1.0000,0,2.0000,1.0000,0,0,0,0,0,0,0,4,1,0,2,1,0,0,0,8,NAVY
0710,CHOCO#1809,2 PC SET WASHABLE,,39.0000,M5,SUIT,ALL,N,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,9,13,21,26,24,20,0,0,0,0,0,0,113,0,0,0,0,113.0000,,1,9.0000,13.0000,21.0000,26.0000,24.0000,20.0000,0,0,0,0,0,0,9,13,21,26,24,20,0,0,0,0,0,0,113,CHOCOLATE
0710,IVY,2 PC SET WASHABLE,,39.0000,M5,SUIT,ALL,N,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,6,9,11,0,0,0,0,0,0,0,0,0,26,0,0,0,0,26.0000,,1,6.0000,9.0000,11.0000,0,0,0,0,0,0,0,0,0,6,9,11,0,0,0,0,0,0,0,0,0,26,IVORY
0710,IVY #1834,2 PC SET WASHABLE,,39.0000,M5,SUIT,ALL,N,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,6,19,20,39,39,29,0,0,0,0,0,0,152,0,0,0,0,152.0000,,1,6.0000,19.0000,20.0000,39.0000,39.0000,29.0000,0,0,0,0,0,0,6,19,20,39,39,29,0,0,0,0,0,0,152,IVORY
0710,NAVY,2 PC SET WASHABLE,,39.0000,M5,SUIT,ALL,J,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,1,12,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0,14.0000,,1,1.0000,12.0000,0,0,0,1.0000,0,0,0,0,0,0,1,12,0,0,0,1,0,0,0,0,0,0,14,NAVY
0710,NAVY #1834,2 PC SET WASHABLE,,39.0000,M5,SUIT,ALL,N,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,8,12,28,35,35,16,0,0,0,0,0,0,134,0,0,0,0,134.0000,,1,8.0000,12.0000,28.0000,35.0000,35.0000,16.0000,0,0,0,0,0,0,8,12,28,35,35,16,0,0,0,0,0,0,134,NAVY
0710,RYL,2 PC SET WASHABLE,,39.0000,M5,SUIT,ALL,N,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,0,0,0,0,0,13,0,0,0,0,0,0,13,0,0,0,0,13.0000,,1,0,0,0,0,0,13.0000,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,13,ROYAL
0710,RYL #1834,2 PC SET WASHABLE,,39.0000,M5,SUIT,ALL,N,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,8,11,23,21,17,8,0,0,0,0,0,0,88,0,0,0,0,88.0000,,1,8.0000,11.0000,23.0000,21.0000,17.0000,8.0000,0,0,0,0,0,0,8,11,23,21,17,8,0,0,0,0,0,0,88,ROYAL
0710,WHT,2 PC SET WASHABLE,,39.0000,M5,SUIT,ALL,J,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8.0000,,1,8.0000,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,WHITE
0710W,BLK,2 PC SET WASHABLE,,39.0000,W12,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,28W,30W,,,0,GIO,00,,0,0,0,0,0,0,1,8,10,9,8,0,36,0,0,0,0,36.0000,,1,0,0,0,0,0,0,1.0000,8.0000,10.0000,9.0000,8.0000,0,0,0,0,0,0,0,1,8,10,9,8,0,36,BLACK
0710W,BLK#1809,2 PC SET WASHABLE,,39.0000,W12,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,28W,30W,,,0,GIO,00,,0,0,7,0,0,0,11,3,6,4,2,0,33,0,0,0,0,33.0000,,1,0,0,7.0000,0,0,0,11.0000,3.0000,6.0000,4.0000,2.0000,0,0,0,7,0,0,0,11,3,6,4,2,0,33,BLACK
0710W,CHOCO,2 PC SET WASHABLE,,39.0000,W12,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,28W,30W,,,0,GIO,00,,0,0,0,0,0,0,3,13,11,0,0,0,27,0,0,0,0,27.0000,,1,0,0,0,0,0,0,3.0000,13.0000,11.0000,0,0,0,0,0,0,0,0,0,3,13,11,0,0,0,27,CHOCOLATE
0710W,CHOCO#1809,2 PC SET WASHABLE,,39.0000,W12,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,28W,30W,,,0,GIO,00,,0,0,9,12,17,18,26,12,10,9,9,0,122,0,0,0,0,122.0000,,1,0,0,9.0000,12.0000,17.0000,18.0000,26.0000,12.0000,10.0000,9.0000,9.0000,0,0,0,9,12,17,18,26,12,10,9,9,0,122,CHOCOLATE
0710W,IVY,2 PC SET WASHABLE,,39.0000,W13,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,28W,,,,0,GIO,00,,0,0,0,0,0,2,1,9,10,0,0,0,22,0,0,0,0,22.0000,,1,0,0,0,0,0,2.0000,1.0000,9.0000,10.0000,0,0,0,0,0,0,0,0,2,1,9,10,0,0,0,22,IVORY
0710W,IVY #1834,2 PC SET WASHABLE,,39.0000,W13,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,28W,,,,0,GIO,00,,0,0,20,28,30,29,18,20,15,10,0,0,170,0,0,0,0,170.0000,,1,0,0,20.0000,28.0000,30.0000,29.0000,18.0000,20.0000,15.0000,10.0000,0,0,0,0,20,28,30,29,18,20,15,10,0,0,170,IVORY
0710W,NAVY,2 PC SET WASHABLE,,39.0000,W12,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,28W,30W,,,0,GIO,00,,0,0,0,0,0,15,16,21,16,12,10,0,90,0,0,0,0,90.0000,,1,0,0,0,0,0,15.0000,16.0000,21.0000,16.0000,12.0000,10.0000,0,0,0,0,0,0,15,16,21,16,12,10,0,90,NAVY
0710W,NAVY #1834,2 PC SET WASHABLE,,39.0000,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,18,28,26,8,9,8,9,0,0,0,106,0,0,0,0,106.0000,,1,0,0,18.0000,28.0000,26.0000,8.0000,9.0000,8.0000,9.0000,0,0,0,0,0,18,28,26,8,9,8,9,0,0,0,106,NAVY
0710W,RYL,2 PC SET WASHABLE,,39.0000,W12,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,28W,30W,,,0,GIO,00,,0,0,0,13,0,8,20,17,22,10,11,0,101,0,0,0,0,101.0000,,1,0,0,0,13.0000,0,8.0000,20.0000,17.0000,22.0000,10.0000,11.0000,0,0,0,0,13,0,8,20,17,22,10,11,0,101,ROYAL
0710W,RYL #1834,2 PC SET WASHABLE,,39.0000,W11,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,,,,,,,0,GIO,00,,0,0,18,6,22,13,0,0,0,0,0,0,59,0,0,0,0,59.0000,,1,0,0,18.0000,6.0000,22.0000,13.0000,0,0,0,0,0,0,0,0,18,6,22,13,0,0,0,0,0,0,59,ROYAL
0710W,WHT,2 PC SET WASHABLE,,39.0000,W12,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,28W,30W,,,0,GIO,00,,0,0,0,0,0,0,8,3,10,11,9,0,41,0,0,0,0,41.0000,,1,0,0,0,0,0,0,8.0000,3.0000,10.0000,11.0000,9.0000,0,0,0,0,0,0,0,8,3,10,11,9,0,41,WHITE
0710W,WHT#1809,2 PC SET WASHABLE,,39.0000,W12,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,28W,30W,,,0,GIO,00,,0,0,2,6,0,6,0,8,12,4,7,0,45,0,0,0,0,45.0000,,1,0,0,2.0000,6.0000,0,6.0000,0,8.0000,12.0000,4.0000,7.0000,0,0,0,2,6,0,6,0,8,12,4,7,0,45,WHITE
0711A,LIME,2 PC WASHABLE SUIT,,39.0000,M1,SUIT,ALL,N,,,,,,,,,,,,,,10,12,14,16,18,,,,,,,,0,GIO,00,,0,0,1,4,1,0,0,0,0,0,0,0,6,0,0,0,0,6.0000,,1,0,0,1.0000,4.0000,1.0000,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,6,LIME
0711A,NAVY,2 PC WASHABLE SUIT,,39.0000,M5,SUIT,ALL,N,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,1,1,8,20,19,16,0,0,0,0,0,0,65,0,0,0,0,65.0000,,1,1.0000,1.0000,8.0000,20.0000,19.0000,16.0000,0,0,0,0,0,0,1,1,8,20,19,16,0,0,0,0,0,0,65,NAVY
0711W,LIME,2 PC WASHABLE SUIT,,39.0000,W2,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,,,,,,0,GIO,00,,0,0,9,3,0,3,8,7,0,0,0,0,30,0,0,0,0,30.0000,,1,0,0,9.0000,3.0000,0,3.0000,8.0000,7.0000,0,0,0,0,0,0,9,3,0,3,8,7,0,0,0,0,30,LIME
0711W,NAVY,2 PC WASHABLE SUIT,,39.0000,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,3,5,7,7,11,11,4,0,0,0,48,0,0,0,0,48.0000,,1,0,0,3.0000,5.0000,7.0000,7.0000,11.0000,11.0000,4.0000,0,0,0,0,0,3,5,7,7,11,11,4,0,0,0,48,NAVY
0818,FUCHSIA,2 PC WASHABLE,,39.0000,M1,SUIT,ALL,N,,,,,,,,,,,,,,10,12,14,16,18,,,,,,,,0,GIO,00,,0,14,18,23,21,18,0,0,0,0,0,0,94,0,0,0,0,94.0000,,1,0,14.0000,18.0000,23.0000,21.0000,18.0000,0,0,0,0,0,0,0,14,18,23,21,18,0,0,0,0,0,0,94,FUCHSIA
0818,NAVY,2 PC WASHABLE,,39.0000,M5,SUIT,ALL,N,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,10,8,16,26,25,17,0,0,0,0,0,0,102,0,0,0,0,102.0000,,1,10.0000,8.0000,16.0000,26.0000,25.0000,17.0000,0,0,0,0,0,0,10,8,16,26,25,17,0,0,0,0,0,0,102,NAVY
